topic,category,status,last_generated
SQL Joins,SQL,completed,2026-07-05 10:11:38
Window Functions,SQL,completed,2026-07-05 10:15:04
Excel Pivot Tables,Excel,completed,2026-07-05 10:49:08
Power BI DAX,Power BI,completed,2026-07-05 10:53:51
Python Pandas,Python,completed,2026-07-05 10:54:03
Statistics for Data Analysts,Statistics,pending,
Data Cleaning Techniques,Data Cleaning,pending,
Dashboard Design Principles,Data Visualization,pending,
Dashboard Design,,,
KPI Metrics,,,
Data Visualization,,,
A/B Testing,,,
Interview Tips,,,
